"concept","standard_name","similarity_score"
"accruedadvertisingcurrent","cash and cash equivalents",0.605128205128205
"accruedadvertisingcurrent","net income",0.590185185185185
"accruedadvertisingcurrent","revenue",0.586666666666667
"accruedincometaxescurrent","cash and cash equivalents",0.668333333333333
"accruedincometaxescurrent","revenue",0.607407407407407
"accruedincometaxescurrent","net income",0.578849206349206
"accruedincometaxesnoncurrent","cash and cash equivalents",0.672619047619048
"accruedincometaxesnoncurrent","revenue",0.623015873015873
"accruedincometaxesnoncurrent","net income",0.522222222222222
"accruedliabilitiesandotherliabilities","revenue",0.616831116831117
"accruedliabilitiesandotherliabilities","cash and cash equivalents",0.557057057057057
"accruedliabilitiesandotherliabilities","net income",0.520597870597871
"accruedliabilitiescurrent","revenue",0.640740740740741
"accruedliabilitiescurrent","net income",0.605
"accruedliabilitiescurrent","cash and cash equivalents",0.590185185185185
"accruedliabilitiescurrentandnoncurrent","revenue",0.61849067112225
"accruedliabilitiescurrentandnoncurrent","cash and cash equivalents",0.617251461988304
"accruedliabilitiescurrentandnoncurrent","net income",0.608430799220273
"accruedliabilitiesforunredeeemedgiftcards","cash and cash equivalents",0.562330623306233
"accruedliabilitiesforunredeeemedgiftcards","revenue",0.557644534778681
"accruedliabilitiesforunredeeemedgiftcards","net income",0.508472557253045
"accruedsalariescurrent","cash and cash equivalents",0.728956228956229
"accruedsalariescurrent","net income",0.728956228956229
"accruedsalariescurrent","revenue",0.631649831649832
"accruedsalariescurrentandnoncurrent","cash and cash equivalents",0.624206349206349
"accruedsalariescurrentandnoncurrent","revenue",0.619047619047619
"accruedsalariescurrentandnoncurrent","net income",0.619047619047619
"accruedvacationcurrent","revenue",0.656986531986532
"accruedvacationcurrent","cash and cash equivalents",0.585353535353535
"accruedvacationcurrent","net income",0.571789321789322
"accumulateddepreciationdepletionandamortizationpropertyplantandequipment","revenue",0.582671957671958
"accumulateddepreciationdepletionandamortizationpropertyplantandequipment","cash and cash equivalents",0.566721132897604
"accumulateddepreciationdepletionandamortizationpropertyplantandequipment","net income",0.541666666666667
"accumulatedothercomprehensiveincomelossavailableforsalesecuritiesadjustmentnetoftax","cash and cash equivalents",0.531459170013387
"accumulatedothercomprehensiveincomelossavailableforsalesecuritiesadjustmentnetoftax","revenue",0.515394912985274
"accumulatedothercomprehensiveincomelossavailableforsalesecuritiesadjustmentnetoftax","net income",0.505077452667814
"accumulatedothercomprehensiveincomelossforeigncurrencytranslationadjustmentnetoftax","cash and cash equivalents",0.536762434352796
"accumulatedothercomprehensiveincomelossforeigncurrencytranslationadjustmentnetoftax","cash and cash equivalents",0.536762434352796
"accumulatedothercomprehensiveincomelossforeigncurrencytranslationadjustmentnetoftax","revenue",0.515394912985274
"accumulatedothercomprehensiveincomelossforeigncurrencytranslationadjustmentnetoftax","net income",0.512100349449747
"accumulatedothercomprehensiveincomelossnetoftax","cash and cash equivalents",0.612687155240347
"accumulatedothercomprehensiveincomelossnetoftax","net income",0.612687155240347
"accumulatedothercomprehensiveincomelossnetoftax","revenue",0.533540189125296
"additionalpaidincapital","revenue",0.664251207729469
"additionalpaidincapital","cash and cash equivalents",0.641821946169772
"additionalpaidincapital","net income",0.638457556935818
"additionalpaidincapitalcommonstock","cash and cash equivalents",0.665266106442577
"additionalpaidincapitalcommonstock","revenue",0.612091503267974
"additionalpaidincapitalcommonstock","net income",0.59859943977591
"advancesfromfederalhomeloanbanks","cash and cash equivalents",0.621527777777778
"advancesfromfederalhomeloanbanks","revenue",0.604166666666667
"advancesfromfederalhomeloanbanks","net income",0.562731481481482
"allowancefordoubtfulaccountspremiumsandotherreceivables","cash and cash equivalents",0.574747474747475
"allowancefordoubtfulaccountspremiumsandotherreceivables","net income",0.574747474747475
"allowancefordoubtfulaccountspremiumsandotherreceivables","revenue",0.562626262626263
"allowanceforloanandleaselossesrealestate","revenue",0.652777777777778
"allowanceforloanandleaselossesrealestate","cash and cash equivalents",0.616666666666667
"allowanceforloanandleaselossesrealestate","net income",0.606481481481482
"alpppreferredstockliabilitysubjecttoredemptionnoncurrent","cash and cash equivalents",0.573412698412698
"alpppreferredstockliabilitysubjecttoredemptionnoncurrent","revenue",0.56984126984127
"alpppreferredstockliabilitysubjecttoredemptionnoncurrent","net income",0.56984126984127
"altrdeferredcompensationplanmarketablesecurities","revenue",0.604166666666667
"altrdeferredcompensationplanmarketablesecurities","cash and cash equivalents",0.539473684210526
"altrdeferredcompensationplanmarketablesecurities","net income",0.501653439153439
"altrdeferredcompensationplanrestrictedcashequivalents","revenue",0.568588399720475
"altrdeferredcompensationplanrestrictedcashequivalents","cash and cash equivalents",0.532345013477089
"altrdeferredcompensationplanrestrictedcashequivalents","net income",0.506239393031846
"altrobligationsforacquisitionofbusinesses","cash and cash equivalents",0.655182926829268
"altrobligationsforacquisitionofbusinesses","net income",0.613917924893535
"altrobligationsforacquisitionofbusinesses","revenue",0.601626016260163
"altrrevolvingcreditfacilityandfinanceleaseobligationcurrent","revenue",0.575531342480495
"altrrevolvingcreditfacilityandfinanceleaseobligationcurrent","cash and cash equivalents",0.5682001614205
"altrrevolvingcreditfacilityandfinanceleaseobligationcurrent","net income",0.526868258859784
"altrrevolvingcreditfacilityandfinanceleaseobligationnoncurrent","revenue",0.577718040621267
"altrrevolvingcreditfacilityandfinanceleaseobligationnoncurrent","cash and cash equivalents",0.570660522273426
"altrrevolvingcreditfacilityandfinanceleaseobligationnoncurrent","net income",0.512032770097286
"appaaccrueddispositioncosts","cash and cash equivalents",0.643399810066477
"appaaccrueddispositioncosts","revenue",0.608950617283951
"appaaccrueddispositioncosts","net income",0.608950617283951
"appaadvancedproceedsprivateplacementnetissuancecosts","revenue",0.658831908831909
"appaadvancedproceedsprivateplacementnetissuancecosts","cash and cash equivalents",0.628205128205128
"appaadvancedproceedsprivateplacementnetissuancecosts","net income",0.521367521367521
"appaconvertiblenotespayablerelatedpartiescurrent","revenue",0.583664021164021
"appaconvertiblenotespayablerelatedpartiescurrent","cash and cash equivalents",0.569444444444445
"appaconvertiblenotespayablerelatedpartiescurrent","net income",0.526388888888889
"aptmaccruedexpensesandothercurrentliabilities","cash and cash equivalents",0.735185185185185
"aptmaccruedexpensesandothercurrentliabilities","revenue",0.625925925925926
"aptmaccruedexpensesandothercurrentliabilities","net income",0.566666666666667
"aptmaccruedliabilitiesrelatedpartycurrent","cash and cash equivalents",0.652664859981933
"aptmaccruedliabilitiesrelatedpartycurrent","net income",0.652664859981933
"aptmaccruedliabilitiesrelatedpartycurrent","revenue",0.645663956639566
"aptmaccruedofferingcosts","cash and cash equivalents",0.62962962962963
"aptmaccruedofferingcosts","net income",0.62962962962963
"aptmaccruedofferingcosts","revenue",0.53493265993266
"aptmadvancefromanchorinvestor","cash and cash equivalents",0.727011494252874
"aptmadvancefromanchorinvestor","revenue",0.59688013136289
"aptmadvancefromanchorinvestor","net income",0.523866538952746
"aptmdeferredofferingcostsnoncurrent","cash and cash equivalents",0.624206349206349
"aptmdeferredofferingcostsnoncurrent","net income",0.59702380952381
"aptmdeferredofferingcostsnoncurrent","revenue",0.548412698412698
"aptmdeferredunderwritingfeepayablenoncurrent","cash and cash equivalents",0.727272727272727
"aptmdeferredunderwritingfeepayablenoncurrent","revenue",0.621212121212121
"aptmdeferredunderwritingfeepayablenoncurrent","net income",0.523160173160173
"aptmprepaidinsurancenoncurrent","cash and cash equivalents",0.727777777777778
"aptmprepaidinsurancenoncurrent","revenue",0.714814814814815
"aptmprepaidinsurancenoncurrent","net income",0.533134920634921
"araycontractwithcustomeradvancescurrent","cash and cash equivalents",0.590811965811966
"araycontractwithcustomeradvancescurrent","cash and cash equivalents",0.590811965811966
"araycontractwithcustomeradvancescurrent","net income",0.55982905982906
"araycontractwithcustomeradvancescurrent","net income",0.55982905982906
"araycontractwithcustomeradvancescurrent","revenue",0.524827024827025
"araycontractwithcustomeradvancescurrent","revenue",0.524827024827025
"arlbondandbondinterestpayable","cash and cash equivalents",0.621510673234811
"arlbondandbondinterestpayable","revenue",0.599434409779237
"arlbondandbondinterestpayable","net income",0.590676883780332
"arlbondspayablenet","revenue",0.622222222222222
"arlbondspayablenet","net income",0.622222222222222
"arlbondspayablenet","cash and cash equivalents",0.603240740740741
"arlmortgagesandnotespayable","cash and cash equivalents",0.592592592592593
"arlmortgagesandnotespayable","revenue",0.552469135802469
"arlmortgagesandnotespayable","net income",0.537037037037037
"arlnonperformingnotesandinterestreceivable","cash and cash equivalents",0.558531746031746
"arlnonperformingnotesandinterestreceivable","revenue",0.552116402116402
"arlnonperformingnotesandinterestreceivable","net income",0.537367724867725
"arlnotesandinterestpayable","cash and cash equivalents",0.670940170940171
"arlnotesandinterestpayable","revenue",0.534188034188034
"arlnotesandinterestpayable","net income",0.505128205128205
"arlnotesrelatedtoassetsheldforsale","cash and cash equivalents",0.599128540305011
"arlnotesrelatedtoassetsheldforsale","net income",0.599128540305011
"arlnotesrelatedtoassetsheldforsale","revenue",0.567401960784314
"arlnotesrelatedtoassetssubjecttosalescontracts","cash and cash equivalents",0.611916264090177
"arlnotesrelatedtoassetssubjecttosalescontracts","net income",0.611916264090177
"arlnotesrelatedtoassetssubjecttosalescontracts","revenue",0.564354727398206
"arlnotesrelatedtosubjecttosalescontracts","cash and cash equivalents",0.606481481481482
"arlnotesrelatedtosubjecttosalescontracts","cash and cash equivalents",0.606481481481482
"arlnotesrelatedtosubjecttosalescontracts","net income",0.606481481481482
"arlnotesrelatedtosubjecttosalescontracts","net income",0.606481481481482
"arlnotesrelatedtosubjecttosalescontracts","revenue",0.556746031746032
"arlnotesrelatedtosubjecttosalescontracts","revenue",0.556746031746032
"arlperformingfinancingreceivable","revenue",0.675925925925926
"arlperformingfinancingreceivable","cash and cash equivalents",0.59077380952381
"arlperformingfinancingreceivable","net income",0.59077380952381
"arlperformingnotesandinterestreceivable","revenue",0.58974358974359
"arlperformingnotesandinterestreceivable","revenue",0.58974358974359
"arlperformingnotesandinterestreceivable","cash and cash equivalents",0.55982905982906
"arlperformingnotesandinterestreceivable","cash and cash equivalents",0.55982905982906
"arlperformingnotesandinterestreceivable","net income",0.550391737891738
"arlperformingnotesandinterestreceivable","net income",0.550391737891738
"arlrealestateheldforsalenet","cash and cash equivalents",0.635802469135803
"arlrealestateheldforsalenet","cash and cash equivalents",0.635802469135803
"arlrealestateheldforsalenet","net income",0.635802469135803
"arlrealestateheldforsalenet","net income",0.635802469135803
"arlrealestateheldforsalenet","revenue",0.632716049382716
"arlrealestateheldforsalenet","revenue",0.632716049382716
"arlrealestatesubjecttosalescontractsatcost","cash and cash equivalents",0.653439153439153
"arlrealestatesubjecttosalescontractsatcost","net income",0.653439153439153
"arlrealestatesubjecttosalescontractsatcost","revenue",0.600859788359788
"arlrealestatesubjecttosalescontractsatcostnetofdepreciation","cash and cash equivalents",0.64406779661017
"arlrealestatesubjecttosalescontractsatcostnetofdepreciation","net income",0.592302259887006
"arlrealestatesubjecttosalescontractsatcostnetofdepreciation","revenue",0.578782172002511
"arlstocksecurednotespayableandmargindebt","revenue",0.583333333333333
"arlstocksecurednotespayableandmargindebt","net income",0.583333333333333
"arlstocksecurednotespayableandmargindebt","cash and cash equivalents",0.533796296296296
"assetretirementobligationsnoncurrent","cash and cash equivalents",0.625
"assetretirementobligationsnoncurrent","net income",0.555555555555556
"assetretirementobligationsnoncurrent","revenue",0.537037037037037
"assets","cash and cash equivalents",1
"assets","net income",0.69047619047619
"assets","revenue",0.643410852713178
"assetscurrent","cash and cash equivalents",1
"assetscurrent","revenue",0.656695156695157
"assetscurrent","net income",0.57948717948718
"assetsheldforsalecurrent","cash and cash equivalents",0.625
"assetsheldforsalecurrent","revenue",0.583333333333333
"assetsheldforsalecurrent","net income",0.54265873015873
"assetsheldforsalenotpartofdisposalgroupcurrentother","cash and cash equivalents",0.615468409586057
"assetsheldforsalenotpartofdisposalgroupcurrentother","net income",0.615468409586057
"assetsheldforsalenotpartofdisposalgroupcurrentother","revenue",0.594117647058824
"assetsheldintrustnoncurrent","cash and cash equivalents",0.671296296296296
"assetsheldintrustnoncurrent","revenue",0.59347442680776
"assetsheldintrustnoncurrent","net income",0.553461199294533
"assetsnoncurrent","revenue",0.675925925925926
"assetsnoncurrent","cash and cash equivalents",0.666666666666667
"assetsnoncurrent","net income",0.550391737891738
"assetsofdisposalgroupincludingdiscontinuedoperation","revenue",0.61671335200747
"assetsofdisposalgroupincludingdiscontinuedoperation","cash and cash equivalents",0.594129318394024
"assetsofdisposalgroupincludingdiscontinuedoperation","net income",0.590569561157796
"assetsofdisposalgroupincludingdiscontinuedoperationcurrent","revenue",0.619868637110016
"assetsofdisposalgroupincludingdiscontinuedoperationcurrent","cash and cash equivalents",0.59985632183908
"assetsofdisposalgroupincludingdiscontinuedoperationcurrent","net income",0.567323481116585
"assetsofdisposalgroupincludingdiscontinuedoperationnoncurrent","revenue",0.620999219359875
"assetsofdisposalgroupincludingdiscontinuedoperationnoncurrent","net income",0.569867291178767
"assetsofdisposalgroupincludingdiscontinuedoperationnoncurrent","cash and cash equivalents",0.565634486945962
"availableforsalesecurities","revenue",0.602564102564103
"availableforsalesecurities","net income",0.602564102564103
"availableforsalesecurities","cash and cash equivalents",0.573717948717949
"availableforsalesecuritiescurrent","revenue",0.616161616161616
"availableforsalesecuritiescurrent","net income",0.616161616161616
"availableforsalesecuritiescurrent","cash and cash equivalents",0.598484848484849
"availableforsalesecuritiesdebtsecurities","cash and cash equivalents",0.647222222222222
"availableforsalesecuritiesdebtsecurities","revenue",0.625
"availableforsalesecuritiesdebtsecurities","net income",0.625
"availableforsalesecuritiesdebtsecuritiescurrent","cash and cash equivalents",0.596631205673759
"availableforsalesecuritiesdebtsecuritiescurrent","revenue",0.590780141843972
"availableforsalesecuritiesdebtsecuritiescurrent","net income",0.590780141843972
"availableforsalesecuritiesequitysecuritiescurrent","cash and cash equivalents",0.653344671201814
"availableforsalesecuritiesequitysecuritiescurrent","revenue",0.630763416477702
"availableforsalesecuritiesequitysecuritiescurrent","net income",0.592517006802721
"availableforsalesecuritiesnoncurrent","revenue",0.62037037037037
"availableforsalesecuritiesnoncurrent","net income",0.62037037037037
"availableforsalesecuritiesnoncurrent","cash and cash equivalents",0.601851851851852
"avdxpaymentserviceobligations","revenue",0.625478927203065
"avdxpaymentserviceobligations","cash and cash equivalents",0.55942118226601
"avdxpaymentserviceobligations","net income",0.51559934318555
"avdxsupplieradvancesreceivablenet","revenue",0.69023569023569
"avdxsupplieradvancesreceivablenet","cash and cash equivalents",0.664141414141414
"avdxsupplieradvancesreceivablenet","net income",0.597643097643098
"bankoverdrafts","cash and cash equivalents",0.626984126984127
"bankoverdrafts","revenue",0.606349206349206
"bankoverdrafts","net income",0.606349206349206
"billingsinexcessofcost","cash and cash equivalents",0.689393939393939
"billingsinexcessofcost","net income",0.689393939393939
"billingsinexcessofcost","revenue",0.631313131313131
"bkeprepaidexpensesandothercurrentassets","cash and cash equivalents",0.732905982905983
"bkeprepaidexpensesandothercurrentassets","revenue",0.698005698005698
"bkeprepaidexpensesandothercurrentassets","net income",0.550391737891738
"blngaccruedofferingcosts","cash and cash equivalents",0.591666666666667
"blngaccruedofferingcosts","net income",0.587962962962963
"blngaccruedofferingcosts","revenue",0.532407407407407
"blngcommonstocksubjecttopossibleredemptionvalue","revenue",0.66919959473151
"blngcommonstocksubjecttopossibleredemptionvalue","cash and cash equivalents",0.657446808510638
"blngcommonstocksubjecttopossibleredemptionvalue","net income",0.626393110435664
"blngcommonstockvalues1","net income",0.677489177489178
"blngcommonstockvalues1","net income",0.677489177489178
"blngcommonstockvalues1","cash and cash equivalents",0.647727272727273
"blngcommonstockvalues1","cash and cash equivalents",0.647727272727273
"blngcommonstockvalues1","cash and cash equivalents",0.647727272727273
"blngcommonstockvalues1","cash and cash equivalents",0.647727272727273
"blngcommonstockvalues1","revenue",0.603896103896104
"blngcommonstockvalues1","revenue",0.603896103896104
"btxdeferredgrantincome","cash and cash equivalents",0.661616161616162
"btxdeferredgrantincome","net income",0.647727272727273
"btxdeferredgrantincome","revenue",0.639393939393939
"btxdeferredlicenseandconsultingfees","cash and cash equivalents",0.624206349206349
"btxdeferredlicenseandconsultingfees","net income",0.59047619047619
"btxdeferredlicenseandconsultingfees","revenue",0.562433862433863
"btxdeferredlicensefeesnoncurrent","cash and cash equivalents",0.621527777777778
"btxdeferredlicensefeesnoncurrent","net income",0.614583333333333
"btxdeferredlicensefeesnoncurrent","revenue",0.554398148148148
"btxdepositsandotherassetsnoncurrent","cash and cash equivalents",0.613492063492064
"btxdepositsandotherassetsnoncurrent","revenue",0.543915343915344
"btxdepositsandotherassetsnoncurrent","net income",0.541600529100529
"btxescrowliabilitycurrent","revenue",0.711428571428572
"btxescrowliabilitycurrent","net income",0.6
"btxescrowliabilitycurrent","cash and cash equivalents",0.594444444444444
"btxgrantsreceivableandotherreceivables","cash and cash equivalents",0.650584795321637
"btxgrantsreceivableandotherreceivables","revenue",0.61849067112225
"btxgrantsreceivableandotherreceivables","net income",0.50848133430649
"btxlandlordliabilitiesnoncurrent","revenue",0.630787037037037
"btxlandlordliabilitiesnoncurrent","revenue",0.630787037037037
"btxlandlordliabilitiesnoncurrent","net income",0.58125
"btxlandlordliabilitiesnoncurrent","net income",0.58125
"btxlandlordliabilitiesnoncurrent","cash and cash equivalents",0.581051587301587
"btxlandlordliabilitiesnoncurrent","cash and cash equivalents",0.581051587301587
"btxliabilityclassifiedwarrantsandotherlongtermliabilities","revenue",0.617376775271512
"btxliabilityclassifiedwarrantsandotherlongtermliabilities","cash and cash equivalents",0.598538011695906
"btxliabilityclassifiedwarrantsandotherlongtermliabilities","net income",0.53983918128655
"btxrelatedpartyconvertibledebtnetofdiscount","cash and cash equivalents",0.691214470284238
"btxrelatedpartyconvertibledebtnetofdiscount","revenue",0.625630614002707
"btxrelatedpartyconvertibledebtnetofdiscount","net income",0.545319022063208
"btxrestrictedcashequivalentscurrent","cash and cash equivalents",0.647089947089947
"btxrestrictedcashequivalentscurrent","net income",0.647089947089947
"btxrestrictedcashequivalentscurrent","revenue",0.565608465608466
"btxshorttermadvance","cash and cash equivalents",0.615009746588694
"btxshorttermadvance","net income",0.615009746588694
"btxshorttermadvance","revenue",0.605750487329435
"btxtenantallowancereceivable","revenue",0.742063492063492
"btxtenantallowancereceivable","cash and cash equivalents",0.619047619047619
"btxtenantallowancereceivable","net income",0.539153439153439
"btxtradeaccountsandgrantsreceivablenetcurrent","cash and cash equivalents",0.630555555555556
"btxtradeaccountsandgrantsreceivablenetcurrent","cash and cash equivalents",0.630555555555556
"btxtradeaccountsandgrantsreceivablenetcurrent","revenue",0.581481481481481
"btxtradeaccountsandgrantsreceivablenetcurrent","revenue",0.581481481481481
"btxtradeaccountsandgrantsreceivablenetcurrent","net income",0.566666666666667
"btxtradeaccountsandgrantsreceivablenetcurrent","net income",0.566666666666667
"btxtradeaccountsandotherreceivables","cash and cash equivalents",0.730952380952381
"btxtradeaccountsandotherreceivables","revenue",0.588161375661376
"btxtradeaccountsandotherreceivables","net income",0.553968253968254
"buildingsandimprovementsgross","cash and cash equivalents",0.676245210727969
"buildingsandimprovementsgross","revenue",0.600437876299945
"buildingsandimprovementsgross","net income",0.568509396095603
"businessacquisitionpreacquisitioncontingencyamountofsettlement","cash and cash equivalents",0.676075268817204
"businessacquisitionpreacquisitioncontingencyamountofsettlement","revenue",0.600507765830346
"businessacquisitionpreacquisitioncontingencyamountofsettlement","net income",0.590860215053763
"businesscombinationcontingentconsiderationliabilitycurrent","cash and cash equivalents",0.647270114942529
"businesscombinationcontingentconsiderationliabilitycurrent","revenue",0.619868637110016
"businesscombinationcontingentconsiderationliabilitycurrent","net income",0.578817733990148
"businesscombinationcontingentconsiderationliabilitynoncurrent","cash and cash equivalents",0.625439110070258
"businesscombinationcontingentconsiderationliabilitynoncurrent","net income",0.604605776736924
"businesscombinationcontingentconsiderationliabilitynoncurrent","revenue",0.552504872177003
"capitalizedcomputersoftwarenet","cash and cash equivalents",0.622222222222222
"capitalizedcomputersoftwarenet","revenue",0.601587301587302
"capitalizedcomputersoftwarenet","net income",0.533134920634921
"capitalizedcontractcostnet","cash and cash equivalents",0.665064102564103
"capitalizedcontractcostnet","revenue",0.59015059015059
"capitalizedcontractcostnet","net income",0.576923076923077
"capitalizedcontractcostnetcurrent","revenue",0.66017316017316
"capitalizedcontractcostnetcurrent","cash and cash equivalents",0.626262626262626
"capitalizedcontractcostnetcurrent","net income",0.595959595959596
"capitalizedcontractcostnetnoncurrent","revenue",0.662698412698413
"capitalizedcontractcostnetnoncurrent","cash and cash equivalents",0.62962962962963
"capitalizedcontractcostnetnoncurrent","net income",0.601851851851852
"capitalleaseobligationscurrent","net income",0.658730158730159
"capitalleaseobligationscurrent","cash and cash equivalents",0.6
"capitalleaseobligationscurrent","revenue",0.6
"capitalleaseobligationsnoncurrent","net income",0.663780663780664
"capitalleaseobligationsnoncurrent","cash and cash equivalents",0.607070707070707
"capitalleaseobligationsnoncurrent","revenue",0.606060606060606
"cash","cash and cash equivalents",1
"cash","cash and cash equivalents",1
"cash","cash and cash equivalents",1
"cash","cash and cash equivalents",1
"cash","cash and cash equivalents",1
"cash","cash and cash equivalents",1
"cash","revenue",1
"cash","revenue",1
"cash","net income",1
"cash","net income",1
"cash","net income",1
"cashandcashequivalentsatcarryingvalue","net income",0.636422136422137
"cashandcashequivalentsatcarryingvalue","cash and cash equivalents",0.618168168168168
"cashandcashequivalentsatcarryingvalue","revenue",0.593021593021593
"cashandsecuritiessegregatedunderfederalandotherregulations","cash and cash equivalents",0.691091954022989
"cashandsecuritiessegregatedunderfederalandotherregulations","revenue",0.565134099616858
"cashandsecuritiessegregatedunderfederalandotherregulations","revenue",0.565134099616858
"cashandsecuritiessegregatedunderfederalandotherregulations","net income",0.564367816091954
"cashcashequivalentsandshortterminvestments","cash and cash equivalents",0.68452380952381
"cashcashequivalentsandshortterminvestments","revenue",0.563492063492064
"cashcashequivalentsandshortterminvestments","net income",0.558531746031746
"cashcashequivalentsrestrictedcashandrestrictedcashequivalents","cash and cash equivalents",0.691939890710383
"cashcashequivalentsrestrictedcashandrestrictedcashequivalents","revenue",0.606102003642987
"cashcashequivalentsrestrictedcashandrestrictedcashequivalents","net income",0.553870673952641
"cashequivalentsatcarryingvalue","net income",0.623809523809524
"cashequivalentsatcarryingvalue","revenue",0.618518518518519
"cashequivalentsatcarryingvalue","cash and cash equivalents",0.6
"cashreservedepositrequiredandmade","cash and cash equivalents",0.622474747474748
"cashreservedepositrequiredandmade","net income",0.585858585858586
"cashreservedepositrequiredandmade","revenue",0.572727272727273
"cashsegregatedunderotherregulations","cash and cash equivalents",0.613492063492064
"cashsegregatedunderotherregulations","revenue",0.572222222222222
"cashsegregatedunderotherregulations","net income",0.567195767195767
"cboefiniteliveddataprocessingsoftwareandotherasset","cash and cash equivalents",0.558333333333333
"cboefiniteliveddataprocessingsoftwareandotherasset","cash and cash equivalents",0.558333333333333
"cboefiniteliveddataprocessingsoftwareandotherasset","revenue",0.507619047619048
"cboefiniteliveddataprocessingsoftwareandotherasset","revenue",0.507619047619048
"cboefiniteliveddataprocessingsoftwareandotherasset","net income",0.483703703703704
"cboefiniteliveddataprocessingsoftwareandotherasset","net income",0.483703703703704
"cboefinitelivedsoftwaredevelopmentworkinprogress","revenue",0.555555555555556
"cboefinitelivedsoftwaredevelopmentworkinprogress","revenue",0.555555555555556
"cboefinitelivedsoftwaredevelopmentworkinprogress","cash and cash equivalents",0.548810473152578
"cboefinitelivedsoftwaredevelopmentworkinprogress","cash and cash equivalents",0.548810473152578
"cboefinitelivedsoftwaredevelopmentworkinprogress","net income",0.538888888888889
"cboefinitelivedsoftwaredevelopmentworkinprogress","net income",0.538888888888889
"cboemargindepositsandclearingfundsassets","revenue",0.520238095238095
"cboemargindepositsandclearingfundsassets","revenue",0.520238095238095
"cboemargindepositsandclearingfundsassets","cash and cash equivalents",0.515740740740741
"cboemargindepositsandclearingfundsassets","cash and cash equivalents",0.515740740740741
"cboemargindepositsandclearingfundsassets","net income",0.515740740740741
"cboemargindepositsandclearingfundsassets","net income",0.515740740740741
"cboemargindepositsandclearingfundsliabilities","cash and cash equivalents",0.560648148148148
"cboemargindepositsandclearingfundsliabilities","cash and cash equivalents",0.560648148148148
"cboemargindepositsandclearingfundsliabilities","revenue",0.524867724867725
"cboemargindepositsandclearingfundsliabilities","revenue",0.524867724867725
"cboemargindepositsandclearingfundsliabilities","net income",0.522222222222222
"cboemargindepositsandclearingfundsliabilities","net income",0.522222222222222
"cboemarketingfeepayablecurrent","cash and cash equivalents",0.580555555555556
"cboemarketingfeepayablecurrent","cash and cash equivalents",0.580555555555556
"cboemarketingfeepayablecurrent","revenue",0.544444444444445
"cboemarketingfeepayablecurrent","revenue",0.544444444444445
"cboemarketingfeepayablecurrent","net income",0.538888888888889
"cboemarketingfeepayablecurrent","net income",0.538888888888889
"cboemarketingfeereceivablecurrent","cash and cash equivalents",0.678030303030303
"cboemarketingfeereceivablecurrent","cash and cash equivalents",0.678030303030303
"cboemarketingfeereceivablecurrent","revenue",0.55050505050505
"cboemarketingfeereceivablecurrent","revenue",0.55050505050505
"cboemarketingfeereceivablecurrent","net income",0.536405723905724
"cboemarketingfeereceivablecurrent","net income",0.536405723905724
